United States,803651
Brazil,617271
India,476478
Mexico,297188
Russia,288240
Peru,201992
United Kingdom,147396
Indonesia,143979
Italy,135301
Iran,130946
Colombia,129295
France,122156
Argentina,116874
Germany,107655
Ukraine,98097
Poland,90306
South Africa,90262
Spain,88667
Turkey,79696
Romania,58019
Philippines,50496
Chile,38773
Hungary,37376
Czechia,34923
Ecuador,33586
Malaysia,31026
Canada,30065
Bulgaria,29933
Pakistan,28863
Vietnam,28857
Bangladesh,28041
Belgium,27729
Tunisia,25450
Iraq,24030
Thailand,21327
Egypt,21234
Netherlands,20768
Greece,19651
Bolivia,19372
Myanmar,19201
Portugal,18717
Japan,18375
Kazakhstan,18088
Paraguay,16517
Guatemala,16061
Slovakia,15730
Sweden,15226
Morocco,14802
Sri Lanka,14698
Austria,13386
Bosnia and Herzegovina,13091
Georgia,12918
Serbia,12306
Jordan,12118
Switzerland,11879
Croatia,11825
Nepal,11567
Honduras,10423
Moldova,9450
Lebanon,8900
Saudi Arabia,8858
Cuba,8313
Israel,8230
Azerbaijan,8149
Armenia,7874
North Macedonia,7778
Panama,7394
Costa Rica,7336
Afghanistan,7332
Lithuania,7059
Ethiopia,6855
Algeria,6171
Uruguay,6149
Ireland,5835
Libya,5583
Slovenia,5452
Kenya,5350
Belarus,5338
Venezuela,5258
Palestine,4855
Zimbabwe,4759
China,4639
South Korea,4591
Latvia,4419
Dominican Republic,4220
Oman,4113
El Salvador,3802
Zambia,3673
Namibia,3579
Uganda,3271
Sudan,3252
Albania,3156
Denmark,3051
Cambodia,2998
Kosovo,2988
Nigeria,2983
Syria,2833
Kyrgyzstan,2777
Trinidad and Tobago,2503
Kuwait,2466
Jamaica,2433
Botswana,2425
Montenegro,2367
Malawi,2311
United Arab Emirates,2151
Australia,2134
Mongolia,2041
Yemen,1973
Mozambique,1948
Senegal,1886
Estonia,1869
Cameroon,1836
Angola,1737
Finland,1450
Uzbekistan,1449
Bahrain,1394
Rwanda,1344
Somalia,1333
Ghana,1255
Eswatini,1255
Norway,1202
Suriname,1179
Democratic Republic of Congo,1126
Guyana,1026
Madagascar,980
Luxembourg,897
Mauritania,852
Taiwan,849
Singapore,808
Haiti,765
Tanzania,734
Bahamas,713
Cote d'Ivoire,706
Fiji,697
Lesotho,665
Mali,634
Cyprus,616
Qatar,614
Belize,589
Papua New Guinea,587
Malta,471
Guinea,388
Congo,365
Cape Verde,351
Gambia,342
Burkina Faso,296
Liberia,287
Gabon,285
Saint Lucia,285
Niger,271
Laos,262
Maldives,259
Barbados,255
Togo,244
Mauritius,240
Nicaragua,215
Hong Kong,213
Grenada,200
Djibouti,189
Chad,181
Equatorial Guinea,175
Benin,161
Comoros,151
Guinea-Bissau,149
Andorra,134
South Sudan,133
Seychelles,131
Tajikistan,125
Timor,122
Sierra Leone,121
Antigua and Barbuda,117
Central African Republic,101
Brunei,98
San Marino,94
Saint Vincent and the Grenadines,77
Liechtenstein,68
Eritrea,65
Sao Tome and Principe,57
New Zealand,49
Dominica,42
Burundi,38
Monaco,36
Iceland,36
Saint Kitts and Nevis,28
Faeroe Islands,13
Bhutan,3
Vanuatu,1
French Polynesia,NULL
Anguilla,NULL
Turkmenistan,NULL
Cook Islands,NULL
Micronesia (country),NULL
Bonaire Sint Eustatius and Saba,NULL
Montserrat,NULL
Pitcairn,NULL
Sint Maarten (Dutch part),NULL
Northern Cyprus,NULL
Niue,NULL
Marshall Islands,NULL
Greenland,NULL
Gibraltar,NULL
Aruba,NULL
Turks and Caicos Islands,NULL
Guernsey,NULL
Falkland Islands,NULL
Nauru,NULL
Bermuda,NULL
Palau,NULL
Cayman Islands,NULL
Jersey,NULL
Wallis and Futuna,NULL
Tuvalu,NULL
Isle of Man,NULL
Tonga,NULL
Tokelau,NULL
New Caledonia,NULL
Saint Helena,NULL
Vatican,NULL
Solomon Islands,NULL
Kiribati,NULL
British Virgin Islands,NULL
Macao,NULL
Curacao,NULL
Samoa,NULL
